"","text","emotion","polarity"
"801","fall in love with nespresso pixie this autumn","joy","neutral"
"802","rt lateline your coffee pods could be killing the environment nespresso boss warns","unknown","positive"
"803","lateline good to see you covering the issue the oz nespresso recycling scheme sadly seems to be greenwash","joy","negative"
"804","former nespresso boss warns coffee pods are killing environment","unknown","positive"
"805","coffee pod sale buypacks of nespresso compatible pods and getpack freeireland","joy","positive"
"806","former nespresso boss warns coffee pods are killing environmentabc news australian","unknown","positive"
"807","rt itsbouquet former nespresso boss warns coffee pods are killing environmentvia abcnews","unknown","positive"
"808","rt sharkchipdrink forgot to mention nespresso is killing good proper coffee","joy","positive"
"809","gloucester former nespresso boss warns coffee pods are killing environment your cof","unknown","positive"
"810","rt lateline your coffee pods could be killing the environment nespresso boss warns","unknown","positive"
"811","former nespresso boss warns coffee pods are killing environmentvia abcnews","unknown","positive"
"812","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"813","rt lateline your coffee pods could be killing the environment nespresso boss warns","unknown","positive"
"814","forgot to mention nespresso is killing good proper coffee","joy","positive"
"815","rt enricocoiera your coffee pods could be contributing to a global environmental disaster warns former nespresso boss …","unknown","negative"
"816","environment cc former nespresso boss warns coffee pods are killing environment your couniteblue climate","unknown","positive"
"817","rt lateline your coffee pods could be killing the environment nespresso boss warns","unknown","positive"
"818","rt emoak former nespresso boss warns coffee pods are killing environmentabc news australian broadcasting corporation …","unknown","positive"
"819","former nespresso boss warns coffee pods are killing environmentabc news australian broadcasting corporation","unknown","positive"
"820","former nespresso boss warns coffee pods are killing environmentvia abcnews","unknown","positive"
"821","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"822","hot amp chillifood and travel blog latelier nespresso lyonbocusedor sp","unknown","positive"
"823","former nespresso boss warns coffee pods are killing environment","unknown","positive"
"824","nespresso news <U+2192> former nespresso boss warns coffee pods are killing environmentabc online abc oncoffee","unknown","positive"
"825","former nespresso boss warns coffee pods are killing environmentvia abcnews","unknown","positive"
"826","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"827","former nespresso boss warns coffee pods are killing environmentvia abcnews","unknown","positive"
"828","exactly what i said would happen and all those sheeple who decided these where a good thing rather than real","joy","positive"
"829","rt ltgibbonsauthor no shit former nespresso boss warns coffee pods are killing environmentvia abcnews environ…","unknown","positive"
"830","stop being wasteful cunts amp find better ways to get your caffeine fix","sadness","negative"
"831","massive thank u to gracehorne and robertcastle for buying me a nespresso machine for university u know how much i love my coffee<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E62><U+2615><U+FE0F>","joy","positive"
"832","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"833","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"834","former nespresso boss warns coffee pods are killing environmentby abcnews via cnvey","unknown","positive"
"835","yesformer nespresso boss amp now head of an ethical company selling competing products conflict in interest","joy","neutral"
"836","we highly recommend watching the abc tonightheres a preview","unknown","positive"
"837","rt monicadux former nespresso boss warns coffee pods are killing environmentvia abcnews","unknown","positive"
"838","former nespresso boss warns coffee pods are killing environment","unknown","positive"
"839","your coffee pods could be contributing to a global environmental disaster warns former nespresso bossvia abcnews","unknown","negative"
"840","george clooney promotes them profits from pollutionformer nespresso boss warns coffee pods killing environment","unknown","positive"
"841","whats the snippet on every side the nespresso d espresso machines qhqfmsh","unknown","positive"
"842","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"843","former nespresso boss warns coffee pods are killing environmentabc news","unknown","positive"
"844","former nespresso boss warns coffee pods are killing environmentvia abcnews","unknown","positive"
"845","rt adamspenceau stop buying themformer nespresso boss warns coffee pods are killing environmentvia abcnews","unknown","positive"
"846","former nespresso boss warns coffee pods are killing environmentabc news australian","unknown","positive"
"847","millendmum sorry youre having trouble finding them you can also order online on amazonuk if that helps","sadness","negative"
"848","lateline abcnews possibly of interest did this inwith jondeeoz","joy","positive"
"849","former nespresso boss warns of coffee pod environmental disaster","unknown","negative"
"850","rt lateline your coffee pods could be killing the environment nespresso boss warns","unknown","positive"
"851","lateline coffee pods could be killing the environment nespresso boss warnsgruen","unknown","positive"
"852","rt lateline your coffee pods could be killing the environment nespresso boss warns","unknown","positive"
"853","rt lateline your coffee pods could be killing the environment nespresso boss warns","unknown","positive"
"854","no shit former nespresso boss warns coffee pods are killing environmentvia abcnews environment wastenot coffee","unknown","positive"
"855","rt lateline your coffee pods could be killing the environment nespresso boss warns","unknown","positive"
"856","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"857","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"858","former nespresso boss warns coffee pods are killing the environment","unknown","positive"
"859","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"860","geoffreyang xedmund own self bring snacks from homeour pantry free one thou except for the nespresso","unknown","positive"
"861","battlefieldpla thats great to hear jordan we hope you enjoy your new machine","joy","positive"
"862","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"863","run out of nespressohow did i let this happen","unknown","positive"
"864","rt adamspenceau stop buying themformer nespresso boss warns coffee pods are killing environmentvia abcnews","unknown","positive"
"865","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"866","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"867","rt natjburke former nespresso chief exec says it is time for consumers to think about the price of convenience","unknown","neutral"
"868","jrmann hi jade we’re sorry the nespresso lattissima touch glam red was promoted incorrectly it is available in store for r","sadness","negative"
"869","djewwy voted hot on free nespresso aerocino at john lewis when you buy a pixie coffee machinehukd","unknown","positive"
"870","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"871","former nespresso boss warns coffee pods are killing environment","unknown","positive"
"872","former nespresso boss warns coffee pods are killing environment","unknown","positive"
"873","former nespresso boss warns coffee pods are killing environment","unknown","positive"
"874","former nespresso chief exec says it is time for consumers to think about the price of convenience","unknown","neutral"
"875","rt lateline your coffee pods could be killing the environment nespresso boss warns","unknown","positive"
"876","rt andydw psa nespresso is awful for more reasons than the obvious one","fear","negative"
"877","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"878","abcnews nespresso buy a machine that grinds the beans waste goes into the garden not too hard to work out is it","unknown","negative"
"879","former nespresso boss warns coffee pods are killing environment your coffee pods could be contributing to a global environmental dis","fear","positive"
"880","your coffee pods could be contributing to a global environmental disaster but the former ceo of nespresso says he has the solution","unknown","negative"
"881","former nespresso boss warns coffee pods are killing environment your coffee pods could be contributing to a","unknown","positive"
"882","former nespresso boss warns coffee pods are killing environmentnews abc","unknown","positive"
"883","former nespresso boss warns coffee pods are killing environment your coffee pods could be contributingabc","unknown","positive"
"884","rt lateline your coffee pods could be killing the environment nespresso boss warns","unknown","positive"
"885","former nespresso boss warns coffee pods are killing environmentvia abcnews","unknown","positive"
"886","mrduncanjamesnespresso<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E64> nice and easy to enjoy different of tastes<U+2615><U+FE0F><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+623C><U+3E30>","joy","positive"
"887","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"888","former nespresso boss warns coffee pods are killing environment your coffee pods could be contributing to a","unknown","positive"
"889","abcnews nespresso squashedpeaches did someone say coffee","unknown","positive"
"890","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"891","rt andydw psa nespresso is awful for more reasons than the obvious one","fear","negative"
"892","rt danmackey after trying every official and non nespresso pod ive become a little obsessed with smartcoffeegrp from amazon …","surprise","negative"
"893","so relationship im in getting pretty serious made iced coffee for the st time with nespresso machine amp now might have to marry it <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+2615><U+FE0F><U+2764><U+FE0F>","unknown","neutral"
"894","rt andydw psa nespresso is awful for more reasons than the obvious one","fear","negative"
"895","former nespresso boss warns coffee pods are killing environment","unknown","positive"
"896","rt lateline your coffee pods could be killing the environment nespresso boss warns","unknown","positive"
"897","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"898","your coffee pods could be killing the environment nespresso boss warns","unknown","positive"
"899","billions of aluminium and plastic coffee capsules are ending up in landfill in us eu and australia each year","unknown","positive"
"900","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"901","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"902","former nespresso boss warns coffee pods are killing environment georgeclooney","unknown","positive"
"903","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"904","javaaaaah former nespresso boss warns coffee pods are killing environment","unknown","positive"
"905","former nespresso boss announces coffee pods are killing the environment blames george clooney alcabcnews","unknown","positive"
"906","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"907","abcnews nespresso hes plugging his own pods","unknown","negative"
"908","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"909","neil nespresso fathers day cashbackcoffee credit orcashback most machines orcof","unknown","positive"
"910","abcnews nespresso and nestle kill babies do no real surprise boycottnestle","surprise","neutral"
"911","rt andydw psa nespresso is awful for more reasons than the obvious one","fear","negative"
"912","hatanya mickkime abcnews not a fan of nespresso on taste or ecology local provider refills my coffee tin with superb ground coffee","joy","positive"
"913","psa nespresso is awful for more reasons than the obvious one","fear","negative"
"914","truthiseverall abcnews nespresso no recycling is not the answer read the whole story","unknown","positive"
"915","former nespresso boss warns coffee pods are killing environmentabc online","unknown","positive"
"916","truthiseverall abcnews nespresso we actually wrote a piece on recycling these cups","unknown","positive"
"917","abcnews nespresso im lucky enough to have a one touch bean espresso machine got sick of looking at a bin full of spent pods","disgust","negative"
"918","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"919","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"920","stop buying themformer nespresso boss warns coffee pods are killing environmentvia abcnews","unknown","positive"
"921","mrduncanjames nespressohad mine two and a half yearsgoes everywhere with mexxxx","unknown","positive"
"922","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"923","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"924","rachaelhasideas abcnews nespresso nespresso ones are recyclable but they dont make it easy to do","unknown","positive"
"925","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"926","former nespresso boss warns coffee pods are killing environment","unknown","positive"
"927","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"928","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"929","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"930","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"931","former nespresso boss warns coffee pods are killing environment ceo","unknown","positive"
"932","truthiseverall abcnews nespresso you can return them to pointofsale for recycling but you have to rely on people to do this","unknown","positive"
"933","gosh johnhanna miamiaman abcnews nespresso who knew","unknown","positive"
"934","coffee pods are so unnecessary its sad to see the environment is being sacrificed for convenience abcnews","sadness","negative"
"935","former nespresso boss warns coffee pods are killing environmentnews","unknown","positive"
"936","abcformer nespresso boss warns coffee pods are killing environment","unknown","positive"
"937","for another story on this rnblueprint covered it in march nespresso coffeepods","unknown","positive"
"938","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"939","is this the ultimate in wasteful packaging former nespresso boss warns coffee pods are killing environmentcoffee","unknown","neutral"
"940","abcnews nespresso are they not recyclable that is the solution making them easy to recycle","unknown","positive"
"941","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"942","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"943","rt elliemail brilliantformer nespresso boss warns coffee pods are killing environmentvia abcnews","unknown","positive"
"944","rt hirschhomestore we love nespresso","joy","positive"
"945","former nespresso boss warns coffee pods are killing environmentvia abcnews","unknown","positive"
"946","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"947","formerso he said bugger all when he was nespresso bossjust another sour former employee perhaps","unknown","negative"
"948","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"949","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"950","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"951","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"952","rt abcnews former nespresso boss warns coffee pods are killing environment","unknown","positive"
"953","former nespresso boss warns coffee pods are killing environment","unknown","positive"
"954","former nespresso boss warns coffee pods are killing environmentabcnews","unknown","positive"
"955","coffee is p per cup and youll get a lovely free packet of biscuits with every purchase today were too good to you nespresso","surprise","neutral"
"956","rt elliemail brilliantformer nespresso boss warns coffee pods are killing environmentvia abcnews","unknown","positive"
"957","former nespresso boss warns coffee pods are killing environment","unknown","positive"
"958","today is exciting forreasons britishbakeoff is back nespresso day has finally arrived at pure leeds","joy","positive"
"959","rt elliemail brilliantformer nespresso boss warns coffee pods are killing environmentvia abcnews","unknown","positive"
"960","former nespresso boss warns coffee pods are killing environmentabcnetau abc news","unknown","positive"
"961","brilliantformer nespresso boss warns coffee pods are killing environmentvia abcnews","unknown","positive"
"962","former nespresso boss warns coffee pods are killing environmentaustralia","unknown","positive"
"963","just had a pretty terrible nespresso cappuccino and a very underwhelming bowl of cornflakes overall this morning has been disappointing","fear","negative"
"964","nespresso inissia espresso makerchoice of color","unknown","positive"
"965","nespresso what elsegeorge clooney et john malkovich sofavia youtube","unknown","positive"
"966","i wanna watch nespresso advertisements now thanks to doris","unknown","negative"
"967","check out nespresso inissia coffee capsule machine with aeroccinoby kr by krups","unknown","positive"
"968","after trying every official and non nespresso pod ive become a little obsessed with smartcoffeegrp from amazon","surprise","negative"
"969","nespresso holy mother gechigithaiga i highly recommend<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E33>","unknown","positive"
"970","giaricaldone were delighted to hear you enjoyed your visit to café nespresso giacomo we hope to see you again soon","joy","positive"
"971","very hot today at osérieux we go for ice coffee <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E30><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E30><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E30> oserieux nespresso greatcoffee…","unknown","positive"
"972","clairerichards mrduncanjames agree nespresso for sure and they have cool shops and now a coffee shop","unknown","positive"
"973","hi starbucksuk i just wondered when are you likely to be launching your nespresso compatible capsules","joy","positive"
"974","whats the pour in relation with the nespresso d espresso machines hmonevf","unknown","positive"
"975","mrduncanjames delonghi nespressoours has been going foryears now","unknown","positive"
"976","mrduncanjames magimix nespresso machine had ours ages x","unknown","positive"
"977","the story of the poddid you know yourbespokespacerome cafe inspired the nespresso pod","unknown","positive"
"978","nespresso capsulesluxury mixed by nespresso","unknown","positive"
"979","rt ftmag ‘those who seek him out wouldn’t be seen dead at starbucks and won’t touch a nespresso’e…","unknown","negative"
"980","morning nespresso coffee done roadtrip to gpspeterborough today for a sweet install wallscapes photos later you lucky followers","unknown","positive"
"981","sat up in bed enjoying a nespresso coffee before getting ready for work coffee morning midweek","anger","positive"
"982","amazon best sellernespresso originalline capsules variety pack intense familykcup coffee","unknown","positive"
"983","nespresso originalline capsules varietycount by nespresso","unknown","positive"
"984","nespresso what else","unknown","positive"
"985","mrduncanjames take the dolce gusto nespresso only provides a thimbleful of coffee d","joy","positive"
"986","check out nespresso inissia coffee capsule machine with aeroccinoby kr by krups","unknown","positive"
"987","mrduncanjames for a reasonably priced one underid go for any nespresso machine","unknown","positive"
"988","nespresso gcausrene vertuoline coffee and espresso maker red by nespresso","unknown","positive"
"989","breakfast would not be complete without s nespresso skinny latte wakemeup <U+2615><U+FE0F>","unknown","positive"
"990","davidjbland where in switzerland will you be when i visit on tech trips we usually have a nespresso in the room to keep fueled in lausanne","unknown","positive"
"991","its never too late for a nespresso cappuccino <U+2615> coffeeaddict","unknown","positive"
"992","nespresso time latissima were elucidatednespresso","unknown","positive"
"993","check out magimix nespresso inissia coffeemachineblack by magimix","unknown","positive"
"994","whats the spoon out with respect to the nespresso d espresso machines acnqday","joy","positive"
"995","sravankmr morning isnt morning without my nespressothanks for the favourite","unknown","positive"
"996","nespresso dussine prodigio with milk espresso maker silver","unknown","positive"
"997","who does that <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63> gigibakes itsgoingtobealongnight latenightsnack everynight nespresso…","unknown","positive"
"998","yves behar designs nespressostyle countertop coldpress juicer","unknown","positive"
"999","i may be a little too excited about todays nespresso haul brazilian and cuban coffee <U+2615><U+FE0F><U+2764><U+FE0F>","unknown","neutral"
"1000","au nespresso vertuoline coffeeespresso maker red brand newgca us re ne","unknown","positive"
"1001","nespresso vertuoline coffee and espresso maker with aeroccino plus milk frother","unknown","positive"
"1002","nespresso inissia espresso makerchoice of color","unknown","positive"
"1003","nespresso inissia espresso coffee makerchoose your color","unknown","positive"
"1004","my nespresso choc amp pistachio edible cups take nespressomoments to the next level nespressocreations spon yum","unknown","positive"
"1005","whats the collop in spitting distance the nespresso d espresso machines upmipje","unknown","positive"
"1006","lisamarieposso oh my yesof course i just bought us matching nespresso machines is that weird","unknown","neutral"
"1007","nespresso what else kcaargentina florvignatrendy","unknown","positive"
"1008","nespresso nestle c espresso machine fire red","unknown","positive"
"1009","check out nespresso compatible capsules pitti caffe cremoso blendcountoffice packebay nespresso","joy","positive"
"1010","check out nespresso compatible capsules pitti caffe cremoso blendcountsugar freeebay nespresso","joy","positive"
"1011","thanks teamleaderbe goebezig nespressotp thanks for the recent follow much appreciatedgtgt want this <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E36><U+393C><U+3E33>","unknown","positive"
"1012","mikeisaac delrey i think this might just be their nespresso stock","unknown","positive"
"1013","chrismisaell get you a nespressomachine","sadness","negative"
"1014","heyitsfree keurig but youre still better off leaving keurigs drm coffee flavored water for a regular coffee maker or for a nespresso","unknown","positive"
"1015","krups xn t kapselmaschine nespresso new citiz und milk fampr ampblogtraffic","unknown","positive"
"1016","how do you like your coffee nespresso","joy","positive"
"1017","nespresso depends on my mood <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61> but its usually ristretto vanilio or ciocattino <U+2615><U+FE0F><U+2764><U+FE0F>","unknown","negative"
"1018","assumed my nespresso flavor was “cigarette” until i remembered that i was smoking","unknown","positive"
"1019","jlr i have those nespresso pod ones but its not environmentally friendly due to the plastic pods","joy","positive"
"1020","whats the cut here and there the nespresso d espresso machines dehrrai","unknown","negative"
"1021","amazon best sellernespresso originalline capsules variety pack intense familykcup coffee","unknown","positive"
"1022","nespresso originalline capsules variety pack intense family","unknown","positive"
"1023","im at nespresso boutiquenespressousa in beverly hills ca","unknown","positive"
"1024","nespresso whatels — <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>","unknown","positive"
"1025","im at nespresso boutique bar miaminespressousa in miami beach fl","joy","negative"
"1026","nespresso excellent spin on it i did just manage to do all the household chores in an hour arpeggio has to be somewhat responsible","unknown","positive"
"1027","jasminbleeks hi jasmin we think as long as you kick off your day with a morning nespressomoment youre destined for a fabulous day","joy","neutral"
"1028","foodmentalist what is your favourite blend to create the perfect morning moment","unknown","positive"
"1029","imabadbitch mes cheveux like nespresso what else","joy","positive"
"1030","whats the scoop out not far the nespresso d espresso machines kdpzdog","unknown","positive"
"1031","mrduncanjames take a look <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E39>","unknown","positive"
"1032","nespressocompatible capsules instead offrom fine coffee club fornespressocompatible","unknown","positive"
"1033","rapsheet jasonrmcintyre bykevinclark suacravens thebanktress get a nespresso vertuoline savea year amp drink a way better product","sadness","negative"
"1034","im at nespresso boutiquenespressousa in san francisco ca","unknown","positive"
"1035","pokemaster morning isnt morning without my nespressothanks for the favourite","unknown","positive"
"1036","just ordered approximatelymillion more nespresso pods and i am very excited undercaffeinated","unknown","positive"
"1037","nespresso just ordered my nespresso lattissima coffee machine by delonghired from argosonline tonight","unknown","positive"
"1038","mrduncanjames id say nespresso its wellknown and comes with different kinds of pods but do your own research before buying <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61>","unknown","positive"
"1039","tonight i performed in depassage between apple store amp nespresso shop but its still a fing…","unknown","positive"
"1040","reciclando at nespresso boutique in campinas sp","unknown","positive"
"1041","waking up and realising you only have decaffeinated nespresso pods left the epitome of firstworldproblems","unknown","neutral"
"1042","mrduncanjames nespresso easily x","unknown","positive"
"1043","nespresso vertuoline coffee and espresso maker with aeroccino plus milk frotheramazon","unknown","positive"
"1044","mrduncanjames i just bought the magimix inissia machine and its shite but the pixie nespresso machine is well good","joy","positive"
"1045","mrduncanjamesi have nespresso by magimix prodigiosmart coffee machineand dualit dinss in coffee machine love them x","unknown","positive"
"1046","mrduncanjames this is mineits a krups amp takes nespresso compatible had ityears now amp wouldnt be without itx","joy","positive"
"1047","mrduncanjames fyi breville is from nespresso company","unknown","positive"
"1048","mrduncanjames nespresso definitively a lot aroma and you can order capsule online xxx","unknown","positive"
"1049","mrduncanjames this is the best nespresso by far","unknown","positive"
"1050","nespresso inssia i think its spelt like that lol its brilliant and coffee is lovely <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38>","joy","positive"
"1051","mrduncanjames my sister has the dolce gusto but thinks the nespresso is the best xx","joy","positive"
"1052","mrduncanjames got to be a nespressobest on market","unknown","positive"
"1053","dawleysue nespresso starbucks shhh dont even joke good jazz","joy","positive"
"1054","every kitchen that doesnt have nespresso pixie is seriously missing out…","unknown","negative"
"1055","bobbistorm nespresso starbucks add a shot of whisky","unknown","positive"
"1056","dawleysue totally not scientific maybe tops out at cati got nespresso amp starbucks going","unknown","positive"
"1057","nespresso nestle ccup espresso machineblack","unknown","positive"
"1058","lightning deals inch display chromebox tb nas tb hard drive tb ssd nespresso…","unknown","neutral"
"1059","nespresso how to treat a customer by nespressoar first deny you ever had it then say you dont have it right now when the lie is exposed","unknown","negative"
"1060","thanks for the <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E36><U+393C><U+3E35> nespresso <U+2615><U+FE0F> dadbod in effect <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E37><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E37> cafezinho do brasil amp <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E34> tinto de colombia nespressomoments","unknown","positive"
"1061","free nespresso aerocino at john lewis when you buy a pixie coffee machinehotukdeals","unknown","positive"
"1062","‘those who seek him out wouldn’t be seen dead at starbucks and won’t touch a nespresso’e","unknown","negative"
"1063","nespresso variety pack for originallinecapsulesoz by nespresso","unknown","positive"
"1064","edgcumbes do you have any details you could send me we have a nespresso machine at the moment but it creates too much waste","unknown","neutral"
"1065","thanks for the nespresso <U+2615><U+FE0F> dadbod in effect <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E36><U+393C><U+3E35> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E37><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E37> cafezinho amp <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+613C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E34> tinto nespressomoments","unknown","positive"
"1066","check out nespresso inissia coffee capsule machine with aeroccinoby kr by krups","unknown","positive"
"1067","amazon best sellernespresso originalline capsules variety pack intense familykcup coffee","unknown","positive"
"1068","i checked in at nespresso boutique on yelp","unknown","negative"
"1069","asktsa can i bring nespresso coffee capsules in my carry on bag","unknown","positive"
"1070","americans tried cuban coffee for the first time and heres what happened","unknown","negative"
"1071","nespressoca lockstep she had to go homeshe was just visiting will likely ask for a nespresso machine for christmas","unknown","neutral"
"1072","im at nespresso in riyadh","unknown","positive"
"1073","need advice on nespresso machines","unknown","neutral"
"1074","if coffee is for closers who drinks espresso nespresso starbucks alfredcoffee groundworkcoffe brooksbrothers toms sales","unknown","positive"
"1075","guess who bought a nespressodecaf this time of night lol","unknown","positive"
"1076","rt kitchencookshop saveonviaggio nespresso compatible coffee capsules nowfor nexthoursht…","joy","positive"
"1077","<U+0627><U+0643><U+062B><U+0631><U+0634><U+064A><U+062A><U+062A><U+0645><U+0646><U+0627><U+0647><U+0628><U+0647><U+0630><U+064A><U+0627><U+0644><U+0644><U+062D><U+0638><U+0647> nespresso dark <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E63>","sadness","negative"
"1078","whats the essential facts relating to the nespresso d espresso machines gkvzwag","unknown","positive"
"1079","lutherburrell nespresso rolls royce of coffee machines","unknown","positive"
"1080","nothing turns me on as much as getting back to your place and seeing a nespresso machine on the counter","unknown","negative"
"1081","nespresso d espresso maker complete powers on home coffee","unknown","positive"
"1082","cheapcaribbean q a nespresso machine","unknown","positive"
"1083","xomarelynn hi veroo additional sleeves of cafecito de cuba will be available again this fall thanks for your patience and understanding","unknown","positive"
"1084","rt connergo cuba in bed w nestle cuban cafe in nespresso pods has my environmentalpoliticalquality coffee panties twisted …","anger","negative"
"1085","aggiemama you decided to tidy up around the house jenn and were rightly rewarded enjoy todays nespressomoment with vanilla amaretti","joy","positive"
"1086","check out magimix nespresso inissia coffeemachineblack by magimix","unknown","positive"
"1087","nespresso prodigio smart connected coffee and espresso maker and milkiot linux alternativeenergy diy","unknown","positive"
"1088","bexmader when you go to nespresso and your mom buyscoffee boxes blessed","unknown","positive"
"1089","nespresso prodigio smart connected coffee and espresso maker and milkiot linux alternativeenergy diy","unknown","positive"
"1090","nespresso originalline capsules varietycount by nespresso","unknown","positive"
"1091","nespresso prodigio smart connected coffee and espresso maker and milkiot linux alternativeenergy diy","unknown","positive"
"1092","i need lavender iced nespresso <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64>","unknown","negative"
"1093","check out nespresso inissia coffee capsule machine with aeroccinoby kr by krups","unknown","positive"
"1094","my boss is getting me a nespresso machine for work with unlimited cash flow to restock it","unknown","neutral"
"1095","nespresso inventor says wife rome cafe inspired the pod","unknown","positive"
